sample_group	score_threshold_pa	fraction_at_or_above	n_callable
MHV-wt	3.6500000000000004	0.2847827221033961	19169
MHV-wt	3.6750000000000003	0.2807658198132401	19169
MHV-wt	3.7	0.2774270958318118	19169
MHV-wt	3.725	0.2741927069748031	19169
MHV-wt	3.75	0.27059314518232563	19169
MHV-wt	3.7750000000000004	0.2667327455787991	19169
MHV-wt	3.8000000000000003	0.2639678647816788	19169
MHV-wt	3.825	0.26104648129792896	19169
MHV-wt	3.85	0.2583859356252282	19169
MHV-wt	3.875	0.254734206270541	19169
MHV-wt	3.9000000000000004	0.2515519849757421	19169
MHV-wt	3.9250000000000003	0.2490479419896708	19169
MHV-wt	3.95	0.24560488288382284	19169
MHV-wt	3.975	0.24284000208670248	19169
MHV-wt	4.0	0.23866659710991706	19169
MHV-wt	4.025	0.23574521362616724	19169
MHV-wt	4.05	0.23282383014241745	19169
MHV-wt	4.075	0.23026761959413636	19169
MHV-wt	4.1000000000000005	0.22797224685690437	19169
MHV-wt	4.125	0.22552037143304293	19169
MHV-wt	4.15	0.22265115551150294	19169
MHV-wt	4.175	0.22009494496322188	19169
MHV-wt	4.2	0.2175909019771506	19169
MHV-wt	4.2250000000000005	0.21440868068235172	19169
MHV-wt	4.25	0.21242631331837863	19169
MHV-wt	4.275	0.2091397568991601	19169
MHV-wt	4.3	0.20663571391308885	19169
MHV-wt	4.325	0.20350566018049976	19169
MHV-wt	4.3500000000000005	0.20027127132349104	19169
MHV-wt	4.375	0.1971933851531118	19169
MHV-wt	4.4	0.19354165579842453	19169
MHV-wt	4.425	0.19119411549898274	19169
MHV-wt	4.45	0.18827273201523292	19169
MHV-wt	4.4750000000000005	0.18524701340706348	19169
MHV-wt	4.5	0.18310814335646095	19169
MHV-wt	4.525	0.18044759768376023	19169
MHV-wt	4.55	0.1785695654442068	19169
MHV-wt	4.575	0.17580468464708643	19169
MHV-wt	4.6000000000000005	0.17267463091449736	19169
MHV-wt	4.625	0.1707444311127341	19169
MHV-wt	4.65	0.16850122593771194	19169
MHV-wt	4.675	0.1666753612603683	19169
MHV-wt	4.7	0.16411915071208721	19169
MHV-wt	4.7250000000000005	0.16161510772601595	19169
MHV-wt	4.75	0.1596327403620429	19169
MHV-wt	4.775	0.1567635244405029	19169
MHV-wt	4.800000000000001	0.15452031926548074	19169
MHV-wt	4.825	0.15279878971255673	19169
MHV-wt	4.8500000000000005	0.150138244039856	19169
MHV-wt	4.875	0.1483123793625124	19169
MHV-wt	4.9	0.14559966612760186	19169
MHV-wt	4.925000000000001	0.14293912045490115	19169
MHV-wt	4.95	0.14090458552871823	19169
MHV-wt	4.9750000000000005	0.13850487766706662	19169
MHV-wt	5.0	0.1364703427408837	19169
MHV-wt	5.025	0.13459231050133028	19169
MHV-wt	5.050000000000001	0.1324012728885179	19169
MHV-wt	5.075	0.1306275757733841	19169
MHV-wt	5.1000000000000005	0.12807136522510304	19169
MHV-wt	5.125	0.1265585059210183	19169
MHV-wt	5.15	0.12358495487505869	19169
MHV-wt	5.175000000000001	0.12134174970003651	19169
MHV-wt	5.2	0.12008972820700088	19169
MHV-wt	5.2250000000000005	0.11795085815639836	19169
MHV-wt	5.25	0.11612499347905472	19169
MHV-wt	5.275	0.11414262611508164	19169
MHV-wt	5.300000000000001	0.11236892899994783	19169
MHV-wt	5.325	0.11033439407376493	19169
MHV-wt	5.3500000000000005	0.10866503208305076	19169
MHV-wt	5.375	0.1064739944702384	19169
MHV-wt	5.4	0.10449162710626532	19169
MHV-wt	5.425000000000001	0.10318743805101988	19169
MHV-wt	5.45	0.10203975168240388	19169
MHV-wt	5.4750000000000005	0.10021388700506026	19169
MHV-wt	5.5	0.09854452501434607	19169
MHV-wt	5.525	0.09729250352131046	19169
MHV-wt	5.550000000000001	0.0956753090928061	19169
MHV-wt	5.575	0.09457979028639991	19169
MHV-wt	5.6000000000000005	0.09327560123115447	19169
MHV-wt	5.625	0.09139756899160102	19169
MHV-wt	5.65	0.08941520162762794	19169
MHV-wt	5.675000000000001	0.08743283426365486	19169
MHV-wt	5.7	0.08649381814387813	19169
MHV-wt	5.7250000000000005	0.08518962908863269	19169
MHV-wt	5.75	0.08398977515780688	19169
MHV-wt	5.775	0.08346809953570869	19169
MHV-wt	5.800000000000001	0.08211174291825343	19169
MHV-wt	5.825	0.07955553236997236	19169
MHV-wt	5.8500000000000005	0.07840784600135636	19169
MHV-wt	5.875	0.07668631644843237	19169
MHV-wt	5.9	0.07538212739318692	19169
MHV-wt	5.925000000000001	0.07402577077573165	19169
MHV-wt	5.95	0.0730345870937451	19169
MHV-wt	5.9750000000000005	0.07188690072512911	19169
MHV-wt	6.0	0.07047837654546403	19169
MHV-wt	6.025	0.06933069017684804	19169
MHV-wt	6.050000000000001	0.06839167405707132	19169
MHV-wt	6.075	0.06734832281287495	19169
MHV-wt	6.1000000000000005	0.0660441337576295	19169
MHV-wt	6.125	0.06500078251343315	19169
MHV-wt	6.15	0.06406176639365642	19169
MHV-wt	6.175000000000001	0.06275757733841097	19169
MHV-wt	6.2	0.06150555584537534	19169
MHV-wt	6.2250000000000005	0.06041003703896917	19169
MHV-wt	6.25	0.05889717773488445	19169
MHV-wt	6.275	0.05780165892847827	19169
MHV-wt	6.300000000000001	0.05686264280870155	19169
MHV-wt	6.325	0.055714956440085554	19169
MHV-wt	6.3500000000000005	0.05488027544472847	19169
MHV-wt	6.375	0.053889091762741925	19169
MHV-wt	6.4	0.05284574051854557	19169
MHV-wt	6.425000000000001	0.052115394647608115	19169
MHV-wt	6.45	0.05112421096562158	19169
MHV-wt	6.4750000000000005	0.05049820021910376	19169
MHV-wt	6.5	0.04966351922374668	19169
MHV-wt	6.525	0.048672335541760134	19169
MHV-wt	6.550000000000001	0.04788982210861287	19169
MHV-wt	6.575	0.046742135739996866	19169
MHV-wt	6.6000000000000005	0.04601178986905942	19169
MHV-wt	6.625	0.045124941311492514	19169
MHV-wt	6.65	0.04423809275392561	19169
MHV-wt	6.675000000000001	0.04361208200740779	19169
MHV-wt	6.7	0.04267306588763107	19169
MHV-wt	6.7250000000000005	0.04183838489227398	19169
MHV-wt	6.75	0.04121237414575617	19169
MHV-wt	6.775	0.04032552558818926	19169
MHV-wt	6.800000000000001	0.03917783921957327	19169
MHV-wt	6.825	0.03844749334863582	19169
MHV-wt	6.8500000000000005	0.03740414210443946	19169
MHV-wt	6.875	0.03683029892013146	19169
MHV-wt	6.9	0.036152120611403826	19169
MHV-wt	6.925000000000001	0.03573478011372529	19169
MHV-wt	6.95	0.03521310449162711	19169
MHV-wt	6.9750000000000005	0.034534926182899474	19169
MHV-wt	7.0	0.034221920809640566	19169
MHV-wt	7.025	0.0331785695654442	19169
MHV-wt	7.050000000000001	0.032917731754395115	19169
MHV-wt	7.075	0.032239553445667486	19169
MHV-wt	7.1000000000000005	0.03150920757473003	19169
MHV-wt	7.125	0.03109186707705149	19169
MHV-wt	7.15	0.030622359017163127	19169
MHV-wt	7.175000000000001	0.03015285095727477	19169
